"Title","Publisher","Editor","Publication Year","Publication Date","Volume/Issue Number","Frequency","Publication Dates","Front Page Headlines","Table of Contents ","Topical Subject","Geographical Subject","Local Genre","LC Classification","Coverage","Type","Original Item Medium","Original Item Size","Digital Format","Digitization Process","Language","Rights","Rights Statement","Rights Statement URL","Collection","Digital Publisher","Source","File Name"
"Richmond Music Journal (1993-11)","Gypsy Publishing","Matera, Mariane","1993","1993-11","v.1:no.1 ","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Jerry returns to city -- Rednecks, Bio Ritmo, F-Zone lead first poll -- Getting the local gig is The Trouble with Larry ","amazing quotes 3 -- Big City 5 -- Dirtball 8 -- Kingdom Scum 10 -- the flap about used CDs 11","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Richmond (Va.) -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-Noncommercial-Share Alike 4.0 International license https://creativecommons.org/licenses/by-nd/4.0/ (CC BY-NC-SA 4.0). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.1, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n01.pdf"
"Richmond Music Journal (1993-12)","Gypsy Publishing","Matera, Mariane","1993","1993-12","v.1:no.2","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Maligned Rednecks cry, ""We are not animals, we are a band!"" -- The Seymores, Pleasure Astro, and Hegoat dominate the charts -- Dirtball and keyboardist Charlie Kilpatrick make repeat appearances; Twisters rules ","Our hostile mail 5-- The Wild Roots 6 -- Lovesake 7 -- adventures of record boy 15 -- Scarien wake-up call 16 -- CD night fever 17 -- Big City disc-cussed 18","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal",,"Original text: Richmond music journal, v.1:no.2, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n02.pdf"
"Richmond Music Journal (1994-01)","Gypsy Publishing","Matera, Mariane","1994","1994-01","v.1:no.3","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Fulflej crushes the polls with Frogs and Rednecks -- Kill Your Band!, Nothing succeeds like excess",,"Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.3, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n03.pdf"
"Richmond Music Journal (1994-02)","Gypsy Publishing","Matera, Mariane","1994","1994-02","v.1:no.4","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Hang the DJ and the account Executive, Commercial free cable radio comes to town -- Fulflej rules the polls once again with Vapor Rhinos & Joe America ","Rhinomania! 17 -- Dave Matthews Band 6 -- My Uncle's Old Army Buddys 8 -- Club Hell 19 -- More vicious, ugly mail 5 -- A song on the radio 15 -- Rediscovering the standards 12","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.4, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n04.pdf"
"Richmond Music Journal (1994-03)","Gypsy Publishing","Matera, Mariane","1994","1994-03","v.1:no.5","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Bucket wins by a pail (of votes) followed by Bio Ritmo and Joe -- Pump down the volume!","noise and boys -- Rocket from the Crypt 7 -- Fool's House 8 -- Buzzy sees Alex Chilton 9 -- Blotto Diablo 12 -- Useless Playboys 15 -- Fulflei reviewed 18","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.5, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n05.pdf"
"Richmond Music Journal (1994-04)","Gypsy Publishing","Matera, Mariane","1994","1994-04","v.1:no.6","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Shake it like a white girl -- Pretty girls love Frog Legs but please don't ask why -- Less Mudd, more chrome on the Helmut","Weirdest mail ever 5-- Vapor Rhinos 6 -- Joe America in the Spotlight and disc-cussed 9, 18-- Fool's House reviewed 14, 19-- Animal Farm 15 -- Frog Legs 1,7,16-- How to tell if you're a real Richmond musician 19","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.6, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n06.pdf"
"Richmond Music Journal (1994-05)","Gypsy Publishing","Matera, Mariane","1994","1994-05","v.1:no.7","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Boyoboy: No stopping that ska-ing ","Trip Thugs 6 -- pissed off mail 5-- The Fredds 1,8 -- Gibbon Hick 12 -- Mad Dog sees freaks 13 -- the Austin scene 16 -- overcoming bad press 19 -- Peter buys an ad 20","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.7, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n07.pdf"
"Richmond Music Journal (1994-06)","Gypsy Publishing","Matera, Mariane","1994","1994-06","v.1:no.8","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Journal gets Car Bombed!, Punk a punk a burning love -- Q: Are we not loud? A: We are Motorhead! ","Radar Rose 6-- Trauma Kamp 7-- Shadowvine 8 -- Mad Dog's Column -- Car Bomb 1,7,8,14,19-- Totemhead 15 -- Wolftown 16 -- Hotel X 22-- Frog Legs 5,8,23","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.8, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n08.pdf"
"Richmond Music Journal (1994-07)","Gypsy Publishing","Matera, Mariane","1994","1994-07","v.1:no.9","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","Hot time, summer in the city; We've got bands and humidity -- Come where you are ","The mail has never been so nasty! 5 -- Trauma Kamp and Don Pinkleton reviewed 18-- Rick Danger announces the next big thing 19-- Geezers roll out for Three Dog Night at Innsbrook 7 -- Steppin' Blind and Mick and the Moondogs in the Spotlight 12-- Another visit from Mad Dog 15 -- Road trip to Elvis Costello 8","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.9, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n09.pdf"
"Richmond Music Journal (1994-08)","Gypsy Publishing","Matera, Mariane","1994","1994-08","v.1:no.10","Monthly","Vol. 1, no. 1 (Nov. 1993)-vol. 12, no. 2 (Feb./Mar. 2005)","On Edge wins poll with massive vote","The mail gets so Intelligent, people sign their names 5 -- Buzzov*en unchanged by their success, still dazed and confused 6 -- Mad Dog shares quality time with us 7-- Humbert gives astoundingly intelligent interview 8 -- Women get their own poll 11 -- More stuff than you thought was happening in this nothing-happening town 4 -- So many record reviews, we could be ""ThroTTle"" 14-19 -- Tattoo Tribe 18","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Rock music – Newspapers; Popular culture -- Virginia -- Newspapers","Newspaper","ML200.8.R53","Richmond (Va.)","Text","Newspaper","35 cm.","application/pdf","Imaged at 400 dpi via Zeutschel OS 16000 and processed with Adobe Photoshop CS6 or CC 2017, Tesseract, and Adobe Acrobat CC 2017.","eng","This material is protected by copyright, and the copyright is held by Mariane Matera. You are permitted to use this material in any way that is permitted by copyright. In addition, this material is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License (CC BY-ND 4.0 - https://creativecommons.org/licenses/by-nd/4.0/). Acknowledgment of Virginia Commonwealth University Libraries as a source is required.","In Copyright - Non-commercial Use Permitted","http://rightsstatements.org/vocab/InC/1.0/","Richmond Music Journal","VCU Libraries","Original text: Richmond music journal, v.1:no.10, Special Collections and Archives, James Branch Cabell Library, Virginia Commonwealth University.","rmj_v01_n10.pdf"
